accessible_parking_spaces,num_storeys,num_units
0,4,34
0,7,169
0,12,235
0,4,44
0,7,61
0,15,146
0,9,116
0,3,11
0,16,255
0,4,39
0,3,17
0,3,15
0,4,25
0,3,15
0,4,21
0,4,37
0,7,49
0,10,59
0,12,122
0,17,157
0,17,173
0,17,235
0,3,21
0,3,109
0,4,67
0,18,118
0,11,92
0,4,45
0,3,16
0,5,35
0,3,57
0,25,561
0,3,21
0,6,83
0,16,221
0,20,331
0,4,16
0,4,16
0,10,108
0,6,16
0,6,60
0,3,25
0,4,38
0,5,56
0,4,28
0,9,70
0,7,68
0,12,100
0,4,23
0,3,15
0,4,24
0,4,94
0,3,19
0,4,13
0,4,15
0,8,68
0,13,525
0,3,50
0,3,43
0,20,226
0,3,61
0,12,130
0,4,48
0,4,32
0,10,74
0,11,80
0,4,16
0,3,32
0,4,47
0,4,13
0,24,168
0,3,19
0,7,34
0,7,68
0,4,24
0,6,54
0,28,457
0,30,514
0,4,15
0,3,14
0,6,115
0,3,20
0,19,371
0,3,16
0,29,406
0,4,13
0,4,13
0,4,29
0,4,29
0,4,42
0,3,14
0,8,74
0,17,234
0,3,10
0,3,20
0,3,11
0,3,10
0,5,52
0,4,45
0,4,54
0,6,43
0,7,90
0,9,151
0,4,34
0,4,50
0,5,39
0,6,57
0,3,12
0,4,40
0,20,304
0,4,60
0,4,60
0,8,29
0,8,77
0,13,149
0,18,195
0,3,14
0,5,115
0,4,35
0,4,61
0,3,45
0,4,32
0,4,24
0,3,45
0,7,68
0,4,16
0,3,22
0,4,19
0,3,25
0,4,37
0,4,47
0,3,21
0,3,45
0,3,12
0,4,59
0,4,40
0,9,92
0,3,24
0,3,46
0,18,325
0,7,153
0,6,40
0,14,189
0,22,370
0,22,370
0,4,43
0,3,20
0,4,24
0,4,32
0,4,26
0,3,11
0,3,47
0,4,28
0,3,10
0,3,20
0,3,29
0,3,29
0,6,54
0,3,14
0,4,73
0,4,16
0,9,88
0,15,121
0,10,54
0,8,54
0,3,12
0,28,265
0,8,51
0,4,33
0,4,23
0,3,14
0,4,56
0,3,23
0,6,48
0,3,26
0,7,67
0,13,132
0,12,133
0,4,17
0,4,44
0,6,77
0,12,120
0,13,128
0,3,17
0,3,10
0,10,69
0,3,22
0,6,64
0,7,109
0,3,15
0,4,33
0,4,56
0,4,68
0,5,50
0,3,18
0,3,12
0,4,71
0,3,18
0,3,18
0,6,110
0,4,40
0,4,31
0,4,59
0,7,130
0,3,25
0,5,34
0,4,29
0,3,11
0,3,30
0,9,92
0,15,174
0,7,82
0,3,11
0,12,160
0,7,76
0,10,91
0,5,86
0,4,38
0,5,71
0,4,71
0,4,100
0,4,87
0,4,32
0,7,61
0,4,40
0,4,29
0,12,92
0,13,126
0,3,22
0,3,29
0,4,41
0,5,65
0,14,256
0,6,86
0,3,28
0,18,229
0,4,36
0,4,33
0,6,62
0,3,19
0,3,10
0,5,44
0,10,149
0,5,79
0,4,35
0,3,52
0,4,26
0,6,60
0,4,34
0,3,10
0,3,10
0,3,33
0,8,52
0,3,12
0,3,29
0,4,38
0,9,133
0,3,29
0,3,26
0,4,56
0,15,83
0,15,171
0,3,28
0,3,26
0,5,56
0,28,214
0,3,17
0,3,22
0,11,91
0,4,26
0,4,26
0,3,10
0,3,11
0,3,29
0,3,29
0,4,21
0,4,22
0,3,11
0,6,57
0,12,118
0,6,55
0,6,81
0,4,38
0,12,95
0,6,71
0,4,34
0,6,52
0,23,216
0,6,71
0,25,333
0,4,22
0,4,64
0,3,10
0,3,39
0,22,141
0,9,218
0,6,32
0,3,18
0,6,92
0,6,96
0,8,29
0,10,133
0,4,24
0,7,52
0,10,87
0,7,60
0,19,226
0,4,22
0,3,14
0,16,221
0,4,22
0,9,117
0,10,118
0,15,173
0,16,253
0,6,90
0,8,81
0,3,12
0,12,243
0,4,234
0,7,87
0,19,225
0,3,11
0,4,13
0,3,16
0,5,27
